month,tau_cn,slope_cn,int_cn,z_cn,p_cn,tau_c,slope_c,int_c,z_c,p_c,tau_n,slope_n,int_n,z_n,p_n
January,0.32126697,0.01133142,-21.68615378,3.36006,7.7926e-4,0.2307692,0.2613462,-495.2598077,2.411337,0.015894,-0.20588235,-0.03392308,70.712153850000007,-2.150632,0.031505
February,0.26269956,0.01023602,-19.44492155,2.774298,0.0055321,0.3795356,0.45225,-879.53975,4.011702,6.0282e-5,-0.07619739,-0.0165625,35.5271875,-0.7993345,0.4241
March,0.22786647300000001,0.007967153,-14.919682808,2.405416,0.016154,0.2859216,0.3389394,-651.1671212,3.020219,0.0025259,-0.05224964,-0.01107692,24.70569231,-0.5457103,0.58527
April,0.17641844,0.004411592,7.847700495,1.763621,0.077796,0.2774823,0.4794444,-932.9180556,2.779039,0.005452,0.04432624,0.01222222,-21.57777778,0.4364683,0.6625
May,0.234509804,0.006867675,-12.772416224,2.425063,0.015306,0.3192157,0.4228571,-818.9928571,3.303945,9.5335e-4,-0.021960784,-0.003214286,9.425714286,-0.2197415,0.82607
June,0.25333333,0.01017954,-19.345921,2.62037,0.0087834,0.294902,0.3916667,-754.555,3.05177,0.002275,-0.1168627,-0.025,52.7617043,-1.204432,0.22842
July,0.30974026,0.01412615,-27.18173999,3.36979,7.5225e-4,0.212987,0.1953893,-360.9428512,2.315017,0.020612,-0.3038961,-0.04666667,95.62916667,-3.306315,9.4532e-4
August,0.43376623,0.01840589,-35.74700763,4.722068,2.3346e-6,0.2324675,0.2636667,-497.0361667,2.527404,0.011491,-0.36558442,-0.05367447,109.66685558,-3.97881,6.9261e-5
September,0.213636364,0.008417304,-15.597149627,2.32204,0.020231,0.01363636,0.01,11.8275,0.1415878,0.88741,-0.1818182,-0.02625,54.35375,-1.975293,0.048235
October,0.091436865,0.003762387,-6.26178439,0.9605538,0.33678,0.1908563,0.2366485,-444.5167732,2.013378,0.044075,-0.02467344,-0.003416667,8.339333333,-0.2536201,0.79979
November,0.3077922,0.0137976,-26.4413315,3.348633,8.1211e-4,0.224026,0.204375,-380.055625,2.435311,0.014879,-0.24805195,-0.03888889,79.92805556,-2.697444,0.0069874
December,0.218181818,0.007885265,-14.640743981,2.371653,0.01771,0.3201299,0.3836364,-741.0902273,3.48306,4.9572e-4,-0.061038961,-0.008181818,18.426136364,-0.6584629,0.51024
