year,month,34N_CUTI
2002,5,1.042
2002,6,0.876
2002,7,0.421
2002,8,0.538
2002,9,0.507
2002,10,0.408
2002,11,0.143
2002,12,0.218
2003,1,0.32
2003,2,0.401
2003,3,0.878
2003,4,0.732
2003,5,0.848
2003,6,0.888
2003,7,0.501
2003,8,1.044
2003,9,0.572
2003,10,0.496
2003,11,0.288
2003,12,0.123
2004,1,0.474
2004,2,0.38
2004,3,0.79
2004,4,0.737
2004,5,1.225
2004,6,0.94
2004,7,0.705
2004,8,0.504
2004,9,0.529
2004,10,0.354
2004,11,0.352
2004,12,0.031
2005,1,0.051
2005,2,0.019
2005,3,0.513
2005,4,1.03
2005,5,1.021
2005,6,1.309
2005,7,0.387
2005,8,0.375
2005,9,0.772
2005,10,0.725
2005,11,0.56
2005,12,0.213
2006,1,0.467
2006,2,0.361
2006,3,0.452
2006,4,0.389
2006,5,0.946
2006,6,0.967
2006,7,0.576
2006,8,0.638
2006,9,0.592
2006,10,0.164
2006,11,0.222
2006,12,0.201
2007,1,0.305
2007,2,0.615
2007,3,0.589
2007,4,1.237
2007,5,0.785
2007,6,1.078
2007,7,0.634
2007,8,0.713
2007,9,0.719
2007,10,0.71
2007,11,0.164
2007,12,0.373
2008,1,0.016
2008,2,0.462
2008,3,1.303
2008,4,1.048
2008,5,0.654
2008,6,0.666
2008,7,0.497
2008,8,0.459
2008,9,0.408
2008,10,0.426
2008,11,0.362
2008,12,0.186
2009,1,-0.038
2009,2,0.156
2009,3,0.587
2009,4,0.958
2009,5,0.623
2009,6,0.539
2009,7,0.469
2009,8,0.44
2009,9,0.403
2009,10,0.512
2009,11,0.453
2009,12,0.069
2010,1,-0.107
2010,2,0.245
2010,3,0.674
2010,4,0.791
2010,5,0.95
2010,6,0.834
2010,7,0.39
2010,8,0.665
2010,9,0.373
2010,10,0.152
2010,11,0.279
2010,12,0.163
2011,1,-0.062
2011,2,0.043
2011,3,0.343
2011,4,0.971
2011,5,1.081
2011,6,0.583
2011,7,0.718
2011,8,0.788
2011,9,0.371
2011,10,0.372
2011,11,0.126
2011,12,0.141
2012,1,0.118
2012,2,0.613
2012,3,0.363
2012,4,0.585
2012,5,1.162
2012,6,0.865
2012,7,0.541
2012,8,0.479
2012,9,0.442
2012,10,0.407
2012,11,0.14
2012,12,0.267
2013,1,0.335
2013,2,0.654
2013,3,0.481
2013,4,0.98
2013,5,1.218
2013,6,0.965
2013,7,0.642
2013,8,0.977
2013,9,0.809
2013,10,0.42
2013,11,0.177
2013,12,0.165
2014,1,0.076
2014,2,0.366
2014,3,0.346
2014,4,0.728
2014,5,0.891
2014,6,0.88
2014,7,0.47
2014,8,0.579
2014,9,0.728
2014,10,0.376
2014,11,0.183
2014,12,0.031
2015,1,-0.043
2015,2,0.227
2015,3,0.295
2015,4,0.89
2015,5,0.976
2015,6,0.741
2015,7,0.655
2015,8,0.878
2015,9,0.455
2015,10,0.504
2015,11,0.385
2015,12,0.745
2016,1,0.153
2016,2,0.381
2016,3,0.681
2016,4,0.995
2016,5,0.818
2016,6,0.677
2016,7,0.627
2016,8,0.739
2016,9,0.576
2016,10,0.525
2016,11,0.36
2016,12,0.231
2017,1,0.142
2017,2,0.223
2017,3,0.557
2017,4,0.891
2017,5,0.961
2017,6,0.984
2017,7,0.496
2017,8,0.676
2017,9,0.548
2017,10,0.414
2017,11,0.308
2017,12,-0.009
2018,1,0.38
2018,2,0.43
2018,3,0.374
2018,4,1.087
2018,5,1.121
2018,6,1.031
2018,7,0.597
2018,8,0.748
2018,9,0.797
2018,10,0.329
2018,11,0.174
2018,12,0.598
2019,1,0.052
2019,2,0.438
2019,3,0.503
2019,4,0.747
2019,5,0.912
2019,6,0.589
2019,7,0.934
2019,8,0.866
2019,9,0.722
2019,10,0.401
2019,11,0.244
2019,12,0.091
2020,1,0.554
2020,2,0.309
2020,3,0.254
2020,4,0.78
2020,5,0.913
2020,6,0.784
2020,7,0.909
2020,8,0.692
2020,9,0.454
2020,10,0.249
2020,11,0.577
2020,12,0.331
2021,1,0.412
2021,2,0.755
