year,month,PDO
2002,5,-1.3
2002,6,-1.18
2002,7,-0.71
2002,8,0.11
2002,9,-0.21
2002,10,-0.2
2002,11,1.08
2002,12,1.57
2003,1,1.45
2003,2,1.23
2003,3,1.01
2003,4,0.36
2003,5,0.21
2003,6,-0.42
2003,7,0.37
2003,8,0.63
2003,9,-0.17
2003,10,0.74
2003,11,-0.23
2003,12,-0.6
2004,1,-0.55
2004,2,-0.21
2004,3,-0.15
2004,4,0
2004,5,0.61
2004,6,-0.11
2004,7,0.04
2004,8,0.24
2004,9,0.02
2004,10,-0.72
2004,11,-1.22
2004,12,-0.64
2005,1,-0.15
2005,2,-0.01
2005,3,0.7
2005,4,0.28
2005,5,1.36
2005,6,0.85
2005,7,0.11
2005,8,-0.42
2005,9,-0.99
2005,10,-2
2005,11,-1.89
2005,12,-0.1
2006,1,0.54
2006,2,0.38
2006,3,-0.74
2006,4,-0.54
2006,5,-0.37
2006,6,0.21
2006,7,0.39
2006,8,-0.85
2006,9,-1.54
2006,10,-0.46
2006,11,-0.81
2006,12,-0.42
2007,1,-0.69
2007,2,-0.71
2007,3,-1.1
2007,4,-0.46
2007,5,-0.29
2007,6,-0.07
2007,7,0.43
2007,8,0.09
2007,9,-0.97
2007,10,-2.33
2007,11,-1.46
2007,12,-0.87
2008,1,-1.5
2008,2,-1.46
2008,3,-1.26
2008,4,-1.79
2008,5,-1.62
2008,6,-1.85
2008,7,-1.96
2008,8,-1.85
2008,9,-1.87
2008,10,-1.9
2008,11,-1.59
2008,12,-1.31
2009,1,-1.81
2009,2,-1.78
2009,3,-2.06
2009,4,-2.23
2009,5,-1.32
2009,6,-0.73
2009,7,-0.71
2009,8,-0.49
2009,9,0.33
2009,10,-0.13
2009,11,-0.94
2009,12,-0.51
2010,1,0.05
2010,2,0.25
2010,3,-0.16
2010,4,-0.04
2010,5,-0.18
2010,6,-0.79
2010,7,-1.99
2010,8,-2.21
2010,9,-2.45
2010,10,-1.6
2010,11,-1.57
2010,12,-2.04
2011,1,-1.8
2011,2,-1.46
2011,3,-1.28
2011,4,-1.02
2011,5,-0.66
2011,6,-1.08
2011,7,-2.3
2011,8,-2.37
2011,9,-2.5
2011,10,-1.92
2011,11,-2.95
2011,12,-2.4
2012,1,-1.85
2012,2,-1.35
2012,3,-1.66
2012,4,-1.01
2012,5,-2.12
2012,6,-1.63
2012,7,-2.4
2012,8,-2.6
2012,9,-2.99
2012,10,-1.22
2012,11,-0.66
2012,12,-1.31
2013,1,-1.1
2013,2,-1.42
2013,3,-1.48
2013,4,-0.72
2013,5,-0.4
2013,6,-1.19
2013,7,-1.34
2013,8,-1.56
2013,9,-1
2013,10,-1.65
2013,11,-1.09
2013,12,-1.04
2014,1,-0.56
2014,2,-0.42
2014,3,0.3
2014,4,0.36
2014,5,1.26
2014,6,-0.29
2014,7,0.24
2014,8,0.33
2014,9,0.75
2014,10,1.42
2014,11,1.35
2014,12,1.85
2015,1,1.51
2015,2,1.52
2015,3,1.34
2015,4,0.9
2015,5,0.33
2015,6,0.82
2015,7,1.41
2015,8,0.98
2015,9,0.96
2015,10,0.83
2015,11,0.16
2015,12,0.28
2016,1,0.74
2016,2,1.3
2016,3,1.58
2016,4,1.73
2016,5,1.59
2016,6,0.85
2016,7,0.56
2016,8,-0.61
2016,9,-0.8
2016,10,-0.43
2016,11,0.96
2016,12,0.6
2017,1,-0.05
2017,2,-0.01
2017,3,0.1
2017,4,0.57
2017,5,0.45
2017,6,0.35
2017,7,-0.43
2017,8,-0.62
2017,9,-0.18
2017,10,-0.68
2017,11,-0.59
2017,12,-0.03
2018,1,0.4
2018,2,-0.08
2018,3,-0.71
2018,4,-0.81
2018,5,-0.45
2018,6,-0.65
2018,7,-0.01
2018,8,-0.21
2018,9,-0.35
2018,10,-0.57
2018,11,-0.7
2018,12,-0.21
2019,1,-0.33
2019,2,-0.72
2019,3,-0.33
2019,4,0.1
2019,5,0.27
2019,6,-0.05
2019,7,0.55
2019,8,0.01
2019,9,0.13
2019,10,-0.89
2019,11,-0.49
2019,12,0
2020,1,-1.41
2020,2,-1.47
2020,3,-1.75
2020,4,-1.31
2020,5,-0.51
2020,6,-0.76
2020,7,-0.9
2020,8,-1.32
2020,9,-1.03
2020,10,-0.62
2020,11,-1.58
2020,12,-0.98
2021,1,-0.61
2021,2,-1.06
