year,month,npgo
2002,1,1.8641573
2002,2,2.1773568
2002,3,1.8982763
2002,4,0.89742216
2002,5,1.102573
2002,6,1.6053913
2002,7,1.3822965
2002,8,0.81184355
2002,9,0.82441109
2002,10,0.82363712
2002,11,1.6592152
2002,12,2.6365472
2003,1,1.9691832
2003,2,0.99256558
2003,3,1.4907114
2003,4,1.1017217
2003,5,0.9192588
2003,6,0.77769152
2003,7,1.2024408
2003,8,0.78228794
2003,9,0.8692253
2003,10,1.286991
2003,11,-0.11436786
2003,12,0.22437689
2004,1,0.26501486
2004,2,0.66722957
2004,3,0.38293237
2004,4,0.12524921
2004,5,0.20735337
2004,6,0.77647507
2004,7,0.41156805
2004,8,0.68538324
2004,9,0.37640228
2004,10,0.042904182
2004,11,-0.44177726
2004,12,-0.98521195
2005,1,-1.658495
2005,2,-1.4948708
2005,3,-1.4866191
2005,4,-1.6856388
2005,5,-0.78952824
2005,6,-1.2838288
2005,7,-1.6634296
2005,8,-1.1301204
2005,9,-1.5725517
2005,10,-0.88912168
2005,11,-1.6606414
2005,12,-1.2525514
2006,1,-0.64599122
2006,2,-1.0694347
2006,3,-0.70992726
2006,4,-0.56588893
2006,5,-0.12194259
2006,6,-0.12747487
2006,7,-0.49903284
2006,8,-0.36663439
2006,9,-0.33957171
2006,10,-1.0490722
2006,11,-0.99593322
2006,12,-0.15556898
2007,1,-0.41231314
2007,2,-0.13701057
2007,3,-0.54937636
2007,4,0.26062231
2007,5,0.69161135
2007,6,1.2322548
2007,7,1.2293291
2007,8,1.4400573
2007,9,0.90904047
2007,10,1.268781
2007,11,0.72848516
2007,12,0.4576465
2008,1,0.55559535
2008,2,1.1353947
2008,3,1.3742118
2008,4,1.3956119
2008,5,1.7381006
2008,6,1.2784121
2008,7,1.4275373
2008,8,2.1438271
2008,9,2.2271197
2008,10,1.7656263
2008,11,1.9696127
2008,12,0.44878735
2009,1,0.72178141
2009,2,0.90853572
2009,3,0.33069035
2009,4,0.41563613
2009,5,0.55442008
2009,6,0.36989138
2009,7,0.55998986
2009,8,0.71776492
2009,9,0.98445633
2009,10,1.1541453
2009,11,1.0548407
2009,12,1.063178
2010,1,2.0640119
2010,2,1.8397684
2010,3,1.6540684
2010,4,1.1788223
2010,5,1.8660236
2010,6,1.2382043
2010,7,1.1456281
2010,8,1.0779035
2010,9,1.0036749
2010,10,1.6059417
2010,11,0.98803369
2010,12,0.77962672
2011,1,0.32143704
2011,2,0.54944886
2011,3,1.2026043
2011,4,0.59585684
2011,5,1.3947862
2011,6,1.1129413
2011,7,1.0354089
2011,8,1.036257
2011,9,1.3281108
2011,10,1.2045161
2011,11,0.37417793
2011,12,0.13153608
2012,1,0.83337844
2012,2,0.86243405
2012,3,1.1165134
2012,4,1.9264089
2012,5,1.6274147
2012,6,1.938326
2012,7,1.8605661
2012,8,1.7305455
2012,9,1.3583948
2012,10,1.8664464
2012,11,1.401837
2012,12,1.2003042
2013,1,1.2303061
2013,2,1.2033246
2013,3,0.64198749
2013,4,0.4757454
2013,5,0.85171232
2013,6,0.72592328
2013,7,0.45082111
2013,8,0.56139213
2013,9,0.38985903
2013,10,-0.14750892
2013,11,-0.80505602
2013,12,-1.452561
2014,1,-0.38996919
2014,2,-0.26724356
2014,3,-0.45401739
2014,4,-0.6174035
2014,5,0.22783033
2014,6,-0.41683559
2014,7,-0.13326054
2014,8,-0.54494684
2014,9,-0.77647484
2014,10,0.42525704
2014,11,0.31181371
2014,12,-0.35483813
2015,1,-0.55025703
2015,2,-1.2726712
2015,3,-1.3949461
2015,4,-1.3779456
2015,5,-0.71954145
2015,6,-1.2491977
2015,7,-1.4735073
2015,8,-1.9276433
2015,9,-2.10385
2015,10,-1.3062118
2015,11,-2.2533168
2015,12,-1.1054027
2016,1,0.93888757
2016,2,0.22969097
2016,3,0.47342201
2016,4,-0.39984827
2016,5,-0.68192827
2016,6,-0.95777129
2016,7,-0.48643932
2016,8,-0.54363312
2016,9,-0.77327726
2016,10,0.3527754
2016,11,1.1604373
2016,12,-1.540838
2017,1,-0.26638853
2017,2,-0.67060799
2017,3,-0.89422474
2017,4,-0.11263396
2017,5,-0.45770927
2017,6,-0.2945526
2017,7,-0.44498774
2017,8,-0.53107789
2017,9,-0.5257936
2017,10,-1.4104447
2017,11,-2.0575759
2017,12,-2.6851348
2018,1,-1.4850568
2018,2,-2.2327564
2018,3,-2.0429687
2018,4,-2.0587792
2018,5,-1.9215388
2018,6,-1.8117177
2018,7,-1.3976708
2018,8,-1.8764217
2018,9,-2.266893
2018,10,-2.55824
2018,11,-2.0905777
2018,12,-1.9662518
2019,1,-0.85762294
2019,2,-2.5719899
2019,3,-1.9929292
2019,4,-2.1538644
2019,5,-2.1198764
2019,6,-1.9872847
2019,7,-2.2190509
2019,8,-1.9868903
2019,9,-2.5294832
2019,10,-2.6746197
2019,11,-3.6465155
2019,12,-2.9323804
2020,1,-1.7093386
2020,2,-2.041406
2020,3,-1.765718
2020,4,-1.8853591
2020,5,-1.049839
2020,6,-1.4469474
2020,7,-1.2455985
